timestamp,fx,fy,fz,tx,ty,tz
35.8513447,0.2485486,-0.0029217,-1.3804535,-0.0124997,-0.0364349,-0.0017410
35.8523447,0.2570532,-0.0259301,-1.4484171,-0.0126990,-0.0368908,-0.0016079
35.8533447,0.2568391,0.0530451,-1.3789121,-0.0118580,-0.0367960,-0.0011954
35.8543447,0.2640562,0.0159551,-1.4137132,-0.0120112,-0.0361993,-0.0013615
35.8553447,0.2465602,0.0179276,-1.2944049,-0.0117846,-0.0365035,-0.0010835
35.8563447,0.2383981,0.0282484,-1.2616997,-0.0118751,-0.0354001,-0.0013074
35.8573447,0.2189858,-0.0145998,-1.2957300,-0.0119077,-0.0342944,-0.0011592
35.8583447,0.2219529,0.0426726,-1.2552691,-0.0100801,-0.0346729,-0.0010637
35.8593447,0.2181838,0.0627548,-1.2343680,-0.0090801,-0.0345276,-0.0013663
35.8603447,0.2349113,0.0793393,-1.3205939,-0.0089557,-0.0337591,-0.0005380
35.8613447,0.2206712,0.0636626,-1.2826856,-0.0079098,-0.0331403,-0.0007528
35.8623447,0.2379795,0.0915043,-1.1649569,-0.0076525,-0.0329001,-0.0009467
35.8633447,0.2255493,0.1068818,-1.1946828,-0.0067005,-0.0326902,-0.0009544
35.8643447,0.2056656,0.0669989,-1.2443459,-0.0065344,-0.0322382,-0.0005768
35.8653447,0.2470789,0.0810680,-1.1597511,-0.0060627,-0.0323867,-0.0010151
35.8663447,0.2267248,0.0614478,-1.1241857,-0.0055331,-0.0320153,-0.0004508
35.8673447,0.2158895,0.0761533,-1.1042731,-0.0049181,-0.0318123,-0.0009113
35.8683447,0.2196303,0.0806561,-1.1344500,-0.0038881,-0.0314562,-0.0009961
35.8693447,0.2039278,0.0606817,-1.1360395,-0.0043827,-0.0313296,-0.0006843
35.8703447,0.2141368,0.0709711,-1.0803535,-0.0027699,-0.0311073,-0.0005800
35.8713447,0.2146838,0.0780508,-1.0647990,-0.0028793,-0.0304594,-0.0004973
35.8723447,0.2038721,0.0929937,-1.0453973,-0.0022512,-0.0302633,-0.0004888
35.8733447,0.1770385,0.0657583,-0.9781463,-0.0022925,-0.0293667,-0.0003059
35.8743447,0.1883399,0.1097279,-0.8945465,-0.0024204,-0.0295529,-0.0007496
35.8753447,0.1982418,0.1186490,-0.9234021,-0.0008480,-0.0289632,-0.0006756
35.8763447,0.1994243,0.1071238,-1.0097072,-0.0013033,-0.0286159,-0.0005509
35.8773447,0.1852587,0.1116225,-1.0224143,-0.0000935,-0.0280139,-0.0001595
35.8783447,0.1838183,0.1037032,-1.0378915,0.0001798,-0.0283737,-0.0000068
35.8793447,0.2033574,0.1105581,-0.8550908,-0.0002273,-0.0280529,-0.0005694
35.8803447,0.2069436,0.1236522,-0.9194289,0.0008663,-0.0273301,-0.0003541
35.8813447,0.2062195,0.1422238,-0.8677726,0.0011910,-0.0270313,-0.0006485
35.8823447,0.1788767,0.1378585,-0.9164622,0.0014781,-0.0268000,-0.0003513
35.8833447,0.1349796,0.1122377,-0.9154391,0.0014296,-0.0261386,-0.0001921
35.8843447,0.1570733,0.1655118,-0.8281211,0.0027317,-0.0258421,-0.0000818
35.8853447,0.1641871,0.1278137,-0.8802190,0.0025721,-0.0250625,-0.0000195
35.8863447,0.1744278,0.1621190,-0.9313091,0.0025006,-0.0251636,-0.0001193
35.8873447,0.1613872,0.1570708,-0.7421803,0.0035161,-0.0248231,-0.0002031
35.8883447,0.1618819,0.1560527,-0.8443515,0.0033119,-0.0245644,-0.0000058
35.8893447,0.1602507,0.1647892,-0.8264676,0.0037224,-0.0241701,0.0000799
35.8903447,0.1690745,0.1271459,-0.8118856,0.0032387,-0.0235837,-0.0003045
35.8913447,0.1413135,0.1528509,-0.7749142,0.0039656,-0.0234320,0.0000225
35.8923447,0.1053787,0.1613303,-0.7553065,0.0043561,-0.0227354,-0.0003601
35.8933447,0.1487880,0.1643431,-0.7749018,0.0042153,-0.0226488,-0.0002118
35.8943447,0.1199686,0.1601229,-0.7715462,0.0048492,-0.0223899,-0.0001291
35.8953447,0.1209639,0.1991288,-0.7545394,0.0050056,-0.0223097,-0.0000476
35.8963447,0.1038194,0.1462365,-0.8074519,0.0043813,-0.0213258,0.0000139
35.8973447,0.1544348,0.1454598,-0.7589908,0.0045768,-0.0214791,0.0005010
35.8983447,0.1190378,0.1774782,-0.7544836,0.0051612,-0.0217255,0.0000334
35.8993447,0.1103368,0.1469627,-0.8075393,0.0047121,-0.0202522,-0.0000627
35.9003447,0.1169454,0.1643001,-0.7883338,0.0053740,-0.0207712,0.0001799
35.9013447,0.0795469,0.1629129,-0.6663994,0.0060432,-0.0200395,-0.0004767
35.9023447,0.1173008,0.1416008,-0.7733106,0.0050161,-0.0201162,0.0000295
35.9033447,0.0948618,0.1621411,-0.7507273,0.0063579,-0.0198078,-0.0000363
35.9043447,0.1139010,0.1479791,-0.7035365,0.0057364,-0.0191235,-0.0005682
35.9053447,0.1226503,0.1818547,-0.6696750,0.0060266,-0.0190125,-0.0004015
35.9063447,0.0756955,0.1660464,-0.6323956,0.0067401,-0.0181241,-0.0001486
35.9073447,0.0773531,0.1854312,-0.6331170,0.0065606,-0.0181444,-0.0002296
35.9083447,0.0587719,0.1715105,-0.7002654,0.0065737,-0.0169544,-0.0005646
35.9093447,0.0594589,0.1419963,-0.6679675,0.0061763,-0.0170507,-0.0005523
35.9103447,0.0754790,0.1735881,-0.6326288,0.0067925,-0.0175591,-0.0003054
35.9113447,0.0561188,0.1405476,-0.6662266,0.0068362,-0.0164523,-0.0003139
35.9123447,0.0774632,0.1898409,-0.6862392,0.0064128,-0.0167584,0.0002980
35.9133447,0.0300385,0.1507457,-0.6157962,0.0069190,-0.0150995,-0.0002960
35.9143447,0.0729517,0.1666169,-0.7010505,0.0070385,-0.0156706,-0.0000932
35.9153447,0.0643194,0.1697726,-0.6334411,0.0070722,-0.0152099,-0.0003817
35.9163447,0.0358543,0.1529835,-0.6655994,0.0074228,-0.0143071,-0.0001553
35.9173447,0.0619856,0.1884413,-0.5985169,0.0077487,-0.0147197,0.0002577
35.9183447,0.0342113,0.1616013,-0.6474601,0.0078267,-0.0139094,-0.0003041
35.9193447,0.0440796,0.1723155,-0.5827877,0.0075973,-0.0130606,-0.0000482
35.9203447,0.0345260,0.1857783,-0.6497695,0.0078594,-0.0125230,0.0003971
35.9213447,0.0332251,0.1335638,-0.5834878,0.0076064,-0.0118368,0.0000335
35.9223447,0.0171333,0.2013747,-0.5818738,0.0079819,-0.0114229,-0.0001265
35.9233447,0.0377928,0.1766685,-0.6646688,0.0087782,-0.0112264,0.0004750
35.9243447,0.0309837,0.1717291,-0.5474431,0.0084290,-0.0113410,0.0001249
35.9253447,0.0298867,0.1701293,-0.6146106,0.0085588,-0.0108685,0.0001017
