Value,Mode,Port,Timestamp Sent,Timestamp Received
29.0,1.0,4.0,55081.0,1761785527046.5857
29.0,1.0,5.0,56152.0,1761785527046.994
29.0,1.0,6.0,56006.0,1761785527047.395
29.0,1.0,7.0,56156.0,1761785527047.9563
126.0,0.0,0.0,55484.0,1761785527048.4507
29.0,0.0,1.0,55332.0,1761785527048.8984
29.0,0.0,2.0,55474.0,1761785527049.3235
28.0,0.0,3.0,55900.0,1761785527049.8271
29.0,0.0,4.0,55082.0,1761785527050.272
29.0,0.0,5.0,56153.0,1761785527050.6726
29.0,0.0,6.0,56008.0,1761785527051.0488
29.0,0.0,7.0,56149.0,1761785527051.4011
126.0,1.0,0.0,55476.0,1761785527051.766
29.0,1.0,1.0,55327.0,1761785527052.1243
29.0,1.0,2.0,55473.0,1761785527052.4692
28.0,1.0,3.0,55900.0,1761785527052.8298
29.0,1.0,4.0,55087.0,1761785527053.159
29.0,1.0,5.0,56152.0,1761785527053.4866
29.0,1.0,6.0,56003.0,1761785527053.8262
29.0,1.0,7.0,56148.0,1761785527054.1494
126.0,0.0,0.0,55470.0,1761785527054.476
29.0,0.0,1.0,55314.0,1761785527054.8037
-9972.0,0.0,2.0,55464.0,1761785527055.2043
28.0,0.0,3.0,55899.0,1761785527055.537
29.0,0.0,4.0,55088.0,1761785527055.8606
29.0,0.0,5.0,56153.0,1761785527056.2092
29.0,0.0,6.0,56020.0,1761785527056.5322
29.0,0.0,7.0,56159.0,1761785527056.8472
128.0,1.0,0.0,55481.0,1761785527057.1736
29.0,1.0,1.0,55322.0,1761785527057.496
29.0,1.0,2.0,55477.0,1761785527057.838
29.0,1.0,3.0,55912.0,1761785527058.1794
29.0,1.0,4.0,55085.0,1761785527058.5024
29.0,1.0,5.0,56152.0,1761785527058.846
29.0,1.0,6.0,56002.0,1761785527059.1838
28.0,1.0,7.0,56150.0,1761785527059.5217
126.0,0.0,0.0,55477.0,1761785527059.8992
29.0,0.0,1.0,55328.0,1761785527060.395
29.0,0.0,2.0,55468.0,1761785527060.7996
29.0,0.0,3.0,55897.0,1761785527061.1553
29.0,0.0,4.0,55084.0,1761785527061.5024
29.0,0.0,5.0,56150.0,1761785527061.837
29.0,0.0,6.0,56009.0,1761785527062.1912
29.0,0.0,7.0,56154.0,1761785527062.5325
125.0,1.0,0.0,55495.0,1761785527062.872
29.0,1.0,1.0,55334.0,1761785527063.4634
29.0,1.0,2.0,55478.0,1761785527063.888
29.0,1.0,3.0,55919.0,1761785527064.2751
29.0,1.0,4.0,55107.0,1761785527064.6868
29.0,1.0,5.0,56170.0,1761785527065.183
29.0,1.0,6.0,56021.0,1761785527065.6362
28.0,1.0,7.0,56158.0,1761785527066.0667
126.0,0.0,0.0,55466.0,1761785527066.4797
29.0,0.0,1.0,55319.0,1761785527066.8418
29.0,0.0,2.0,55470.0,1761785527067.1985
29.0,0.0,3.0,55912.0,1761785527067.5247
29.0,0.0,4.0,55091.0,1761785527067.8438
29.0,0.0,5.0,56157.0,1761785527068.1572
29.0,0.0,6.0,56005.0,1761785527068.491
29.0,0.0,7.0,56146.0,1761785527068.811
125.0,1.0,0.0,55479.0,1761785527069.1707
29.0,1.0,1.0,55316.0,1761785527069.5046
29.0,1.0,2.0,55463.0,1761785527069.8823
29.0,1.0,3.0,55904.0,1761785527070.405
29.0,1.0,4.0,55090.0,1761785527070.9004
29.0,1.0,5.0,56154.0,1761785527071.2656
29.0,1.0,6.0,56024.0,1761785527071.6052
28.0,1.0,7.0,56171.0,1761785527071.989
126.0,0.0,0.0,55476.0,1761785527072.4329
29.0,0.0,1.0,55325.0,1761785527072.7947
29.0,0.0,2.0,55475.0,1761785527073.1687
29.0,0.0,3.0,55903.0,1761785527073.5066
29.0,0.0,4.0,55087.0,1761785527073.839
29.0,0.0,5.0,56152.0,1761785527074.1934
29.0,0.0,6.0,56016.0,1761785527074.5198
28.0,0.0,7.0,56152.0,1761785527074.8718
126.0,1.0,0.0,55483.0,1761785527075.1985
29.0,1.0,1.0,55325.0,1761785527075.5315
29.0,1.0,2.0,55478.0,1761785527075.8564
29.0,1.0,3.0,55911.0,1761785527076.1692
29.0,1.0,4.0,55101.0,1761785527076.6765
29.0,1.0,5.0,56142.0,1761785527077.0828
29.0,1.0,6.0,56011.0,1761785527077.5515
28.0,1.0,7.0,56146.0,1761785527078.0051
126.0,0.0,0.0,55477.0,1761785527078.4255
29.0,0.0,1.0,55314.0,1761785527078.7954
29.0,0.0,2.0,55461.0,1761785527079.1392
29.0,0.0,3.0,55894.0,1761785527079.4707
29.0,0.0,4.0,55084.0,1761785527079.7996
29.0,0.0,5.0,56149.0,1761785527080.3076
29.0,0.0,6.0,55995.0,1761785527080.7183
28.0,0.0,7.0,56149.0,1761785527081.1958
126.0,1.0,0.0,55486.0,1761785527081.633
29.0,1.0,1.0,55324.0,1761785527082.0293
29.0,1.0,2.0,55477.0,1761785527082.4128
29.0,1.0,3.0,55906.0,1761785527082.7688
29.0,1.0,4.0,55086.0,1761785527083.117
29.0,1.0,5.0,56154.0,1761785527083.5508
29.0,1.0,6.0,56013.0,1761785527084.0098
28.0,1.0,7.0,56160.0,1761785527084.4556
