c1normal,c2normal,c3normal,c4normal,c1shear,c2shear,c3shear,c4shear,timestamp
112559.000,112624.000,112195.000,112195.000,-511.000,-332.000,-69.000,530.000,1761203749.528
112604.000,112631.000,112214.000,112181.000,-520.000,-326.000,-71.000,539.000,1761203749.529
112578.000,112622.000,112189.000,112188.000,-511.000,-325.000,-78.000,535.000,1761203749.531
112596.000,112681.000,112229.000,112182.000,-520.000,-338.000,-69.000,539.000,1761203749.533
112586.000,112622.000,112191.000,112230.000,-513.000,-347.000,-79.000,512.000,1761203749.535
112572.000,112611.000,112179.000,112173.000,-517.000,-340.000,-61.000,539.000,1761203749.537
112565.000,112604.000,112168.000,112172.000,-498.000,-346.000,-70.000,543.000,1761203749.538
112608.000,112653.000,112205.000,112170.000,-513.000,-336.000,-74.000,564.000,1761203749.540
112565.000,112638.000,112158.000,112143.000,-511.000,-348.000,-52.000,543.000,1761203749.542
112587.000,112617.000,112175.000,112204.000,-499.000,-333.000,-84.000,541.000,1761203749.543
112567.000,112621.000,112202.000,112194.000,-508.000,-318.000,-59.000,521.000,1761203749.545
112566.000,112659.000,112200.000,112186.000,-519.000,-311.000,-68.000,526.000,1761203749.547
112564.000,112614.000,112186.000,112170.000,-509.000,-336.000,-79.000,546.000,1761203749.548
112600.000,112651.000,112204.000,112179.000,-500.000,-339.000,-70.000,538.000,1761203749.550
112550.000,112614.000,112169.000,112173.000,-508.000,-350.000,-87.000,521.000,1761203749.551
112581.000,112624.000,112190.000,112169.000,-514.000,-334.000,-73.000,536.000,1761203749.553
112586.000,112624.000,112184.000,112190.000,-514.000,-343.000,-89.000,524.000,1761203749.555
112613.000,112633.000,112198.000,112186.000,-508.000,-352.000,-101.000,534.000,1761203749.556
112582.000,112633.000,112190.000,112179.000,-491.000,-330.000,-83.000,527.000,1761203749.558
112597.000,112640.000,112213.000,112205.000,-507.000,-339.000,-74.000,532.000,1761203749.559
112619.000,112616.000,112206.000,112191.000,-522.000,-341.000,-63.000,525.000,1761203749.561
